kode_standar;nama_standar;tipe;kelompok
1.1.7.01.02.03.015;Suku Cadang Alat Kedokteran Radiologi;SSH;1
1.1.7.01.02.03.016;Suku Cadang Alat Kedokteran Kulit Dan Kelamin;SSH;1
1.1.7.01.02.03.017;Suku Cadang Alat Kedokteran Ugd;SSH;1
1.1.7.01.02.03.018;Suku Cadang Alat Kedokteran Hematologi;SSH;1
1.1.7.01.02.03.019;Suku Cadang Alat Kedokteran Hewan;SSH;1
1.1.7.01.02.03.020;Suku Cadang Alat Kedokteran Lainnya;SSH;1
1.1.7.01.02.04.001;Suku Cadang Alat Laboratorium Kimia Air Taknik Penyehatan;SSH;1
1.1.7.01.02.04.002;Suku Cadang Alat Laboratorium Micro Biologi Penyehatan;SSH;1
1.1.7.01.02.04.003;Suku Cadang Alat Laboratorium Hidro Kimia;SSH;1
1.1.7.01.02.04.004;Suku Cadang Alat Laboratorium Model Hidrolika;SSH;1
1.1.7.01.02.04.005;Suku Cadang Alat Laboratorium Batuan/Geologi;SSH;1
1.1.7.01.02.04.006;Suku Cadang Alat Laboratorium Bahan Bangunan Konstruksi;SSH;1
1.1.7.01.02.04.007;Suku Cadang Alat Laboratorium Aspal, Cat Dan Kimia;SSH;1
1.1.7.01.02.04.008;Suku Cadang Alat Laboratorium Mekanika Tanah Dan Batuan;SSH;1
1.1.7.01.02.04.009;Suku Cadang Alat Laboratorium Cocok Tanam;SSH;1
1.1.7.01.02.04.010;Suku Cadang Alat Laboratorium Logam, Mesin Dan Listrik;SSH;1
1.1.7.01.02.04.011;Suku Cadang Alat Laboratorium Umum;SSH;1
1.1.7.01.02.04.012;Suku Cadang Alat Laboratorium Microbiologi;SSH;1
1.1.7.01.02.04.013;Suku Cadang Alat Laboratorium Kimia;SSH;1
1.1.7.01.02.04.014;Suku Cadang Alat Laboratorium Patologi;SSH;1
1.1.7.01.02.04.015;Suku Cadang Alat Laboratorium Immunologi;SSH;1
1.1.7.01.02.04.016;Suku Cadang Alat Laboratorium Film;SSH;1
1.1.7.01.02.04.017;Suku Cadang Alat Laboratorium Radio;SSH;1
1.1.7.01.02.04.018;Suku Cadang Alat Laboratorium Makanan;SSH;1
