kode_standar;nama_standar;tipe;kelompok
1.3.2.03.03.05.008;Pattem Generator;SSH;1
1.3.2.03.03.05.009;Stair Stope Generator Unit;SSH;1
1.3.2.03.03.05.010;Sign Wave Generator Unit;SSH;1
1.3.2.03.03.05.011;Test Generator;SSH;1
1.3.2.03.03.05.012;Test Line Generator;SSH;1
1.3.2.03.03.05.013;Tv Test Signal Generator;SSH;1
1.3.2.03.03.05.014;Tv If Signal Generator;SSH;1
1.3.2.03.03.05.015;Pal Test Generator;SSH;1
1.3.2.03.03.05.016;Monochrome Test Generator;SSH;1
1.3.2.03.03.05.017;Standard Level Generator;SSH;1
1.3.2.03.03.05.018;Interval Test Generator;SSH;1
1.3.2.03.03.05.019;Station Identification Generator;SSH;1
1.3.2.03.03.05.020;Character Generator (Alat Kalibrasi);SSH;1
1.3.2.03.03.05.021;Video Generator;SSH;1
1.3.2.03.03.05.022;Waveform Generator Special Efect;SSH;1
1.3.2.03.03.05.023;Test Signal Generator;SSH;1
1.3.2.03.03.05.024;Special Effect;SSH;1
1.3.2.03.03.05.025;Dead Weight Tester;SSH;1
1.3.2.03.03.05.026;Fuel Injection Test;SSH;1
1.3.2.03.03.05.027;Mater Calibrator;SSH;1
1.3.2.03.03.05.028;Pulse Generator (Alat Kalibrasi);SSH;1
1.3.2.03.03.05.029;Autometic Syntheisizer;SSH;1
1.3.2.03.03.05.030;Pattern Tv Adjusment;SSH;1
1.3.2.03.03.05.031;Rc Generator;SSH;1
1.3.2.03.03.05.032;Bantam Air Sampler;SSH;1
1.3.2.03.03.05.033;Combined Vacum Pump;SSH;1
1.3.2.03.03.05.034;Class Meter Ii;SSH;1
1.3.2.03.03.05.035;Lend Brich (Timah Hitam);SSH;1
1.3.2.03.03.05.036;Air Partical Tape Sampler;SSH;1
1.3.2.03.03.05.037;Universal Spectometer;SSH;1
1.3.2.03.03.05.038;Gm Preamplifier P31;SSH;1
1.3.2.03.03.05.039;Crytal For D 200;SSH;1
1.3.2.03.03.05.040;Window For F 200;SSH;1
1.3.2.03.03.05.041;Seintication Detector;SSH;1
1.3.2.03.03.05.042;Radio Arsipe Sounde Groun;SSH;1
1.3.2.03.03.05.043;Radio Arsipe Sounde Meter;SSH;1
1.3.2.03.03.05.044;Regullating Transformator;SSH;1
1.3.2.03.03.05.045;Radio Active Source;SSH;1
1.3.2.03.03.05.046;Aloka Nuclear Instrument;SSH;1
1.3.2.03.03.05.047;Electron Calculator Hewlet;SSH;1
1.3.2.03.03.05.048;Packard Mini Komplit;SSH;1
1.3.2.03.03.05.049;Mica Window, Griger Tube;SSH;1
1.3.2.03.03.05.050;Time Up;SSH;1
1.3.2.03.03.05.051;Tehnical Drawing Machine;SSH;1
1.3.2.03.03.05.052;Slide Resister;SSH;1
1.3.2.03.03.05.053;Tracerlab;SSH;1
1.3.2.03.03.05.054;Rapid Reading Balance;SSH;1
1.3.2.03.03.05.055;Versamatic Ii Scaler;SSH;1
1.3.2.03.03.05.056;Alpha Seintilation;SSH;1
1.3.2.03.03.05.057;Field Balance;SSH;1
1.3.2.03.03.05.058;Sorterak;SSH;1
1.3.2.03.03.05.059;Precicheh Grainer Electronic;SSH;1
1.3.2.03.03.05.060;Micromat Grainer Electonic;SSH;1
1.3.2.03.03.05.061;Sun Photo Meter;SSH;1
1.3.2.03.03.05.062;Epidiascome;SSH;1
1.3.2.03.03.05.063;Regullating Transformator Radio Active Sound;SSH;1
1.3.2.03.03.05.064;Radio Active Sound Antenna Td-2;SSH;1
1.3.2.03.03.05.065;Control Verity;SSH;1
1.3.2.03.03.05.066;Mechanic Setter;SSH;1
1.3.2.03.03.05.067;Epanics;SSH;1
1.3.2.03.03.05.068;Electronic Spear;SSH;1
1.3.2.03.03.05.069;Transmitting Vacuum;SSH;1
1.3.2.03.03.05.070;Automatic Emergency Lighting;SSH;1
1.3.2.03.03.05.071;Preccision Laboratory Balance;SSH;1
1.3.2.03.03.05.072;Moisture Determination Balance;SSH;1
1.3.2.03.03.05.073;Loud And Large Converter;SSH;1
1.3.2.03.03.05.074;Prim Apparat;SSH;1
1.3.2.03.03.05.075;Thermostat;SSH;1
1.3.2.03.03.05.076;Thermohygrostat;SSH;1
1.3.2.03.03.05.077;Barostat;SSH;1
1.3.2.03.03.05.078;Alat Tera Radiasi Matahari;SSH;1
1.3.2.03.03.05.079;Alat Tera Kecepatan Angin;SSH;1
1.3.2.03.03.05.080;Amplifier Micro Thermometer;SSH;1
1.3.2.03.03.05.081;Visilight Recorder;SSH;1
1.3.2.03.03.05.082;Vibrometer (Alat Kalibrasi);SSH;1
1.3.2.03.03.05.083;Refracsion Seismograph;SSH;1
1.3.2.03.03.05.084;Radio Sonde;SSH;1
1.3.2.03.03.05.085;Hand Vibrstion Test;SSH;1
1.3.2.03.03.05.086;Flaw Detector;SSH;1
1.3.2.03.03.05.087;Multigas Detector;SSH;1
1.3.2.03.03.05.088;Softeware Multigas Retector;SSH;1
1.3.2.03.03.05.089;Caoting Thicknes Gauge;SSH;1
1.3.2.03.03.05.090;Wet Film Thicknes Gauge;SSH;1
1.3.2.03.03.05.091;Dual Scape Electrinic Coating Thicknes;SSH;1
1.3.2.03.03.05.092;Ultrasonic Thicknes Test;SSH;1
1.3.2.03.03.05.093;Oil Test Kit;SSH;1
1.3.2.03.03.05.094;Coolant Test Kit;SSH;1
1.3.2.03.03.05.095;Baretey Charger Test;SSH;1
1.3.2.03.03.05.096;High Teck Full Face Mask;SSH;1
1.3.2.03.03.05.097;Hadled Printer;SSH;1
1.3.2.03.03.05.098;Colour Spectrophotometer;SSH;1
1.3.2.03.03.05.099;Positest (Banana) Gauge;SSH;1
1.3.2.03.03.05.100;Concrette Thickness Gauge;SSH;1
1.3.2.03.03.05.101;Temperature Bath;SSH;1
1.3.2.03.03.05.102;Temperature Chamber;SSH;1
1.3.2.03.03.05.103;High Volume Air Sampler (Hvas) Calibration Kit;SSH;1
1.3.2.03.03.05.104;Alat Kalibrator Kelistrikan;SSH;1
1.3.2.03.03.05.105;Gravimeter Calibrator;SSH;1
1.3.2.03.03.05.106;Calibration Table;SSH;1
1.3.2.03.03.05.107;Magnetometer Kalibrator;SSH;1
1.3.2.03.03.05.108;Shaking Table;SSH;1
1.3.2.03.03.05.109;Alat Kalibrasi Lainnya;SSH;1
1.3.2.03.03.06.001;Oscilloscope Main Frame;SSH;1
1.3.2.03.03.06.002;Oscilloscope Main Frame With Variable Persistnce Strorage Tube;SSH;1
1.3.2.03.03.06.003;Oscilloscope Special;SSH;1
1.3.2.03.03.06.004;Oscilloscope Envelope;SSH;1
1.3.2.03.03.06.005;Synchronoscope;SSH;1
1.3.2.03.03.06.006;Vectorscope;SSH;1
1.3.2.03.03.06.007;Waveform Monitor Set With Level And Vector Display;SSH;1
1.3.2.03.03.06.008;Analyzer Fn Side Band;SSH;1
1.3.2.03.03.06.009;Analyzer Spektrum Display;SSH;1
1.3.2.03.03.06.010;Plyscope;SSH;1
1.3.2.03.03.06.011;Videoscope With Side Band Adaptor;SSH;1
1.3.2.03.03.06.012;Oscilloscope Lainnya;SSH;1
1.3.2.03.03.07.001;Frequency Counter (Universal Tester);SSH;1
1.3.2.03.03.07.002;Insulation Res Meter Mod;SSH;1
1.3.2.03.03.07.003;Noise & Distortion Meter;SSH;1
1.3.2.03.03.07.004;Oscilator Distortion Meter;SSH;1
1.3.2.03.03.07.005;Oscilator Test Signal;SSH;1
1.3.2.03.03.07.006;Oscilator Widw Band;SSH;1
1.3.2.03.03.07.007;Oscilator Sweep;SSH;1
1.3.2.03.03.07.008;Precision Encoder Monitor;SSH;1
1.3.2.03.03.07.009;Plambicon Test Unit;SSH;1
1.3.2.03.03.07.010;Scanner (Universal Tester);SSH;1
1.3.2.03.03.07.011;Time Interval Unit;SSH;1
1.3.2.03.03.07.012;Universal Counter (Universal Tester);SSH;1
1.3.2.03.03.07.013;Video Noise Meter;SSH;1
1.3.2.03.03.07.014;Admintance Meter;SSH;1
1.3.2.03.03.07.015;Admintance Bride;SSH;1
1.3.2.03.03.07.016;Fieldstrength Meter;SSH;1
1.3.2.03.03.07.017;Rf Bridge;SSH;1
1.3.2.03.03.07.018;Rf Push Button Attenuator;SSH;1
1.3.2.03.03.07.019;Vision And Sound Nyquist Demodulator Amf;SSH;1
1.3.2.03.03.07.020;V.S.W.R Standing Review;SSH;1
1.3.2.03.03.07.021;Digital Frequence Meter;SSH;1
1.3.2.03.03.07.022;Vindicam Quick Tester;SSH;1
1.3.2.03.03.07.023;Coaxial Att;SSH;1
1.3.2.03.03.07.024;Variable Coaxial Att;SSH;1
1.3.2.03.03.07.025;Logic Probe (Universal Tester);SSH;1
1.3.2.03.03.07.026;Survey Meter (Universal Tester);SSH;1
1.3.2.03.03.07.027;Logic Comparator;SSH;1
1.3.2.03.03.07.028;Universal Tester Lainnya;SSH;1
1.3.2.03.03.08.001;Ukuran Johanson (Alat Pembanding Standar Ukuran Panjang);SSH;1
1.3.2.03.03.08.002;Micro Indicator (Dengan Perlengkapan Suparto Pointers Dan Revol;SSH;1
1.3.2.03.03.08.003;Perlengkapan Micro Indicator;SSH;1
1.3.2.03.03.08.004;Psycometer Van Lambrecht;SSH;1
1.3.2.03.03.08.005;Psycometer;SSH;1
1.3.2.03.03.08.006;Barometer Logam;SSH;1
1.3.2.03.03.08.007;Barometer Mercury;SSH;1
1.3.2.03.03.08.008;Manometer Untuk Mesin;SSH;1
1.3.2.03.03.08.009;Monotor Precisi;SSH;1
1.3.2.03.03.08.010;Alat Pemeriksa Manometer (Dengan Perlengkapan);SSH;1
1.3.2.03.03.08.011;Alat Pemeriksaan Zat Cair;SSH;1
1.3.2.03.03.08.012;Termometer Standar;SSH;1
1.3.2.03.03.08.013;Termometer Govermen Tester 0 Derajat Sampai Dengan 100 Derajat C;SSH;1
1.3.2.03.03.08.014;Thermostat (Penguji Pemeriksaan Termometer);SSH;1
1.3.2.03.03.08.015;Jam Ukur (Meet Lock);SSH;1
1.3.2.03.03.08.016;Hardnes Tester;SSH;1
1.3.2.03.03.08.017;Stopwatch;SSH;1
1.3.2.03.03.08.018;Loup;SSH;1
1.3.2.03.03.08.019;Planimeter (Alat Ukur/Pembanding);SSH;1
1.3.2.03.03.08.020;Metra Block;SSH;1
1.3.2.03.03.08.021;Lemari Baja Pengering;SSH;1
1.3.2.03.03.08.022;Sanblas Unit;SSH;1
1.3.2.03.03.08.023;Alat Pemeriksaan Timbangan Tekanan Beroda;SSH;1
1.3.2.03.03.08.024;Stelan Instrumen Bourje;SSH;1
1.3.2.03.03.08.025;Lampu Untuk Menerangi Skala Neraca Pakai Standar;SSH;1
1.3.2.03.03.08.026;Avometer Su 20 - 20 K;SSH;1
1.3.2.03.03.08.027;Trappo 1.000 Watt;SSH;1
1.3.2.03.03.08.028;Tool Set;SSH;1
1.3.2.03.03.08.029;Landasan Cap Lengkap;SSH;1
1.3.2.03.03.08.030;Kaki Tiga Gantungan Dacin;SSH;1
1.3.2.03.03.08.031;Alat Pendatar Takaran Bensin;SSH;1
1.3.2.03.03.08.032;Tang Plombir / Segel;SSH;1
1.3.2.03.03.08.033;Exicator Besar;SSH;1
1.3.2.03.03.08.034;Exicator Kecil;SSH;1
1.3.2.03.03.08.035;Desicator (Size) 3;SSH;1
1.3.2.03.03.08.036;Desicator (Size) 4;SSH;1
1.3.2.03.03.08.037;Botol Air Saling Dari 25 Liter;SSH;1
1.3.2.03.03.08.038;Picnometer;SSH;1
1.3.2.03.03.08.039;Desimeter (Hidrometer);SSH;1
1.3.2.03.03.08.040;Telescope Tile Varieble;SSH;1
1.3.2.03.03.08.041;Optical Strean (Untuk Pemeriksaan Kaca);SSH;1
1.3.2.03.03.08.042;Optocal Teknis Gange (Pengukur Tebal Dinding);SSH;1
1.3.2.03.03.08.043;Lifter Capasitas 500 Kg;SSH;1
1.3.2.03.03.08.044;Taximeter Tester;SSH;1
1.3.2.03.03.08.045;Spedometer Tester;SSH;1
1.3.2.03.03.08.046;Standard Guage Blocks;SSH;1
1.3.2.03.03.08.047;Finest Direct Reading Intern Micrometer Of Varios Range Up To 10;SSH;1
1.3.2.03.03.08.048;Constant Temperature Combined Bridge Thermostat;SSH;1
1.3.2.03.03.08.049;Transparan Plastic Rack Insert For 20 Test Test Tubes 75 X 17;SSH;1
1.3.2.03.03.08.050;Water Bath Plexiglass Capasity 71;SSH;1
1.3.2.03.03.08.051;Test Tube Rack Stainlesstel With 10 Holes 18 Mm Dia;SSH;1
1.3.2.03.03.08.052;Calorimeter Thermometer Aceto Bestmen Certificate Sit Of Gauge Pretition Lands Berger;SSH;1
1.3.2.03.03.08.053;Thermometer;SSH;1
1.3.2.03.03.08.054;Set Of 14 Hight Precision Ameral Thermometer;SSH;1
1.3.2.03.03.08.055;Addition Tuner Stop Watch;SSH;1
1.3.2.03.03.08.056;Universal Clamp, Clamping Range 6 To 12 Mm;SSH;1
1.3.2.03.03.08.057;Universal Clamp, Clamping Range 6 To 75 Mm;SSH;1
1.3.2.03.03.08.058;Venier Caliver;SSH;1
1.3.2.03.03.08.059;Propile Proyektor Toyo Serie;SSH;1
1.3.2.03.03.08.060;Tool Maker Microscope Magnification 30 X;SSH;1
1.3.2.03.03.08.061;Microscope Multiview;SSH;1
1.3.2.03.03.08.062;Stop Watch Printer;SSH;1
1.3.2.03.03.08.063;Alat Ukur/Pembanding Lainnya;SSH;1
1.3.2.03.03.09.001;Meter X - 27 Dari Platina Tridium;SSH;1
1.3.2.03.03.09.002;H - Meter Dari Baja Nikel;SSH;1
1.3.2.03.03.09.003;Komparator;SSH;1
1.3.2.03.03.09.004;Alat Pengukur Garis Tengah;SSH;1
1.3.2.03.03.09.005;Ban Ukur;SSH;1
1.3.2.03.03.09.006;Diameter Tape;SSH;1
1.3.2.03.03.09.007;Ukuran Tinggi Orang;SSH;1
1.3.2.03.03.09.008;Schuifmaat (Ukuran Ingsut);SSH;1
1.3.2.03.03.09.009;Lifter Standard (1 Liter);SSH;1
1.3.2.03.03.09.010;Bejana Ukur;SSH;1
1.3.2.03.03.09.011;Alat Ukur Kadar Air (Alat Ukur Lainnya);SSH;1
1.3.2.03.03.09.012;Alat Ukur Pemecah Kulit Gabah;SSH;1
1.3.2.03.03.09.013;Rain Gauge;SSH;1
1.3.2.03.03.09.014;Needle Lift Sensor;SSH;1
1.3.2.03.03.09.015;Isolab;SSH;1
1.3.2.03.03.09.016;Laser Ace;SSH;1
1.3.2.03.03.09.017;Mistar Rambu;SSH;1
1.3.2.03.03.09.018;Alat Ukur Lainnya;SSH;1
1.3.2.03.03.10.001;Timbangan Jembatan Capasitas 10 Ton;SSH;1
1.3.2.03.03.10.002;Timbangan Meja Capasitas 10 Kg;SSH;1
1.3.2.03.03.10.003;Timbangan Meja Capasitas 5 Kg;SSH;1
1.3.2.03.03.10.004;Timbangan Bbi Capasitas 100 Kg;SSH;1
1.3.2.03.03.10.005;Timbangan Bbi Capasitas 25 Kg;SSH;1
1.3.2.03.03.10.006;Timbangan Bbi Capasitas 15 Kg (Timbangan Bayi);SSH;1
1.3.2.03.03.10.007;Timbangan Bbi Capasitas 10 Kg;SSH;1
1.3.2.03.03.10.008;Timbangan Cepat Capasitas 10 Kg;SSH;1
1.3.2.03.03.10.009;Timbangan Cepat Capasitas 25 Kg;SSH;1
1.3.2.03.03.10.010;Timbangan Cepat Capasitas 200 Kg;SSH;1
1.3.2.03.03.10.011;Timbangan Pegas Capasitas 10 Kg;SSH;1
1.3.2.03.03.10.012;Timbangan Pegas Capasitas 50 Kg (Alat Timbangan/Biara);SSH;1
1.3.2.03.03.10.013;Timbangan Surat Capasitas 100 Kg;SSH;1
1.3.2.03.03.10.014;Timbangan Kwadran Capasitas 100 Kg;SSH;1
1.3.2.03.03.10.015;Timbangan Sentisimal Dacin Kuningan;SSH;1
1.3.2.03.03.10.016;Timbangan Gula Gaveka;SSH;1
1.3.2.03.03.10.017;Timbangan Gantung Capasitas 50 Gram;SSH;1
1.3.2.03.03.10.018;Neraca Halus + Lemari Capasitas 500 Gram;SSH;1
1.3.2.03.03.10.019;Neraca Parama E;SSH;1
1.3.2.03.03.10.020;Neraca Parama D Capasitas 5 Gram;SSH;1
1.3.2.03.03.10.021;Neraca Percisi Elektronik Capasitas 1 Kg;SSH;1
1.3.2.03.03.10.022;Neraca Percisi (Single Pan) Capasitas 20 Kg;SSH;1
1.3.2.03.03.10.023;Neraca Percisi (Elektronik Vacum Me);SSH;1
1.3.2.03.03.10.024;Neraca Percisi 30 Kg (Micro Balance);SSH;1
1.3.2.03.03.10.025;Neraca Percisi Capasitas 50 Gram;SSH;1
1.3.2.03.03.10.026;Neraca Percisi Capasitas 1 Kg;SSH;1
1.3.2.03.03.10.027;Neraca Tera E;SSH;1
1.3.2.03.03.10.028;Neraca Tera A Capasitas 75 Kg;SSH;1
1.3.2.03.03.10.029;Neraca Tera B Capasitas 10 Kg;SSH;1
1.3.2.03.03.10.030;Neraca Torsion Balance Capasitas 500 Gram;SSH;1
1.3.2.03.03.10.031;Neraca Analisa Capasitas 1000 Gram;SSH;1
1.3.2.03.03.10.032;Neraca Analisa Capasitas 20 Kg;SSH;1
1.3.2.03.03.10.033;Neraca Capasitas 1 Kg;SSH;1
1.3.2.03.03.10.034;Neraca Capasitas 20 Kg;SSH;1
1.3.2.03.03.10.035;Moister Meter;SSH;1
1.3.2.03.03.10.036;Neraca Dengan Digital Display;SSH;1
1.3.2.03.03.10.037;Alat Timbangan/Biara Lainnya;SSH;1
1.3.2.03.03.11.001;Kilogram Tembaga Nasional Platina;SSH;1
1.3.2.03.03.11.002;Kilogram Tembaga Bentuk Tong Bersadur Mas Murni 1 Kg;SSH;1
1.3.2.03.03.11.003;Kilogram Sepuh Mas 1 Kg. Pakai Tombol;SSH;1
1.3.2.03.03.11.004;Kilogram Baja Berbentuk Tong Bersadur Croom;SSH;1
1.3.2.03.03.11.005;Kilogram Dari Baja Berbentuk Slinder;SSH;1
1.3.2.03.03.11.006;Kilogram Kerja Standar Tk.Ii;SSH;1
1.3.2.03.03.11.007;Kilogram Standar;SSH;1
1.3.2.03.03.11.008;Anak Timbangan Tembaga Kantor Tk.Iii;SSH;1
1.3.2.03.03.11.009;Anak Timbangan Miligram;SSH;1
1.3.2.03.03.11.010;Anak Timbangan Miligram Platina;SSH;1
1.3.2.03.03.11.011;Anak Timbangan Miligram Aluminium;SSH;1
1.3.2.03.03.11.012;Anak Timbangan Gram Standar 1 Gram;SSH;1
1.3.2.03.03.11.013;Anak Timbangan Halus Dari 1.000 - 1 Gram;SSH;1
1.3.2.03.03.11.014;Anak Timbangan Biasa Dari 1.000 - 1 Gram;SSH;1
1.3.2.03.03.11.015;Anak Timbangan Bidur;SSH;1
1.3.2.03.03.11.016;Anak Timbangan Dari Besi;SSH;1
1.3.2.03.03.11.017;Anak Timbangan Keping (Mulut Kecil);SSH;1
1.3.2.03.03.11.018;Anak Timbangan Keping (Mulut Besar);SSH;1
1.3.2.03.03.11.019;Anak Timbangan/Biara Lainnya;SSH;1
1.3.2.03.03.12.001;Takaran Kering Dari 100 - 50 - 20 Liter;SSH;1
1.3.2.03.03.12.002;Takaran Kering Dari 10 S/D 0,5 Liter;SSH;1
1.3.2.03.03.12.003;Takaran Kering Lainnya;SSH;1
1.3.2.03.03.13.001;Takaran Bahan Bangunan 2 Hl Berbentuk Tong;SSH;1
1.3.2.03.03.13.002;Takaran Bahan Bangunan Lainnya;SSH;1
1.3.2.03.03.14.001;Takaran Latex/Getah Susu;SSH;1
1.3.2.03.03.14.002;Takaran Buah Kopi Dari 0,5 Hl;SSH;1
1.3.2.03.03.14.003;Takaran Kapuk Dari Kayu 2 Dan 1 Hl;SSH;1
1.3.2.03.03.14.004;Takaran Minyak Dari Besi 0,5 Hl;SSH;1
1.3.2.03.03.14.005;Takaran Gandum 0,5 Hl;SSH;1
1.3.2.03.03.14.006;Labu Takar (Volumetrik) Berbagai Capasitas;SSH;1
1.3.2.03.03.14.007;Botol Uji Berbagai Ukuran;SSH;1
1.3.2.03.03.14.008;Takaran Lainnya;SSH;1
1.3.2.03.03.15.001;Alat Penguji Kendaraan Bermotor;SSH;1
1.3.2.03.03.15.002;Flow Watch;SSH;1
1.3.2.03.03.15.003;Alat Penguji Kendaraan Bermotor Lainnya;SSH;1
1.3.2.03.03.16.001;Loadsimulator;SSH;1
1.3.2.03.03.16.002;Brake Efficiency Recorder;SSH;1
1.3.2.03.03.16.003;Noise Tester;SSH;1
1.3.2.03.03.16.004;Nozzle Tester;SSH;1
1.3.2.03.03.16.005;Smoke Tester;SSH;1
1.3.2.03.03.16.006;Heat Light Tester;SSH;1
1.3.2.03.03.16.007;Brake Tester;SSH;1
1.3.2.03.03.16.008;Side Sleep Tester;SSH;1
1.3.2.03.03.16.009;Carlift/Ptlift;SSH;1
1.3.2.03.03.16.010;Axle Weight Beam;SSH;1
1.3.2.03.03.16.011;Chasis Lubricator;SSH;1
1.3.2.03.03.16.012;Tune Up Tester (Alat Penguji Kendaraan Bermotor);SSH;1
1.3.2.03.03.16.013;Compression Gauge;SSH;1
1.3.2.03.03.16.014;Diesel Timing Tachometer;SSH;1
1.3.2.03.03.16.015;Vernier Caliper;SSH;1
1.3.2.03.03.16.016;Sound Scope;SSH;1
1.3.2.03.03.16.017;Hydraulic Tester;SSH;1
1.3.2.03.03.16.018;Temperature Gauge;SSH;1
1.3.2.03.03.16.019;Whitsone Brigg;SSH;1
1.3.2.03.03.16.020;Tire Pressure Gauge;SSH;1
1.3.2.03.03.16.021;Service Lift;SSH;1
1.3.2.03.03.16.022;Tachometer (Mechanical);SSH;1
1.3.2.03.03.16.023;Tachometer (Electric);SSH;1
1.3.2.03.03.16.024;Spark Plug Cleaner;SSH;1
1.3.2.03.03.16.025;Spark Plug Quick Tester;SSH;1
1.3.2.03.03.16.026;Injection Pump Tester;SSH;1
1.3.2.03.03.16.027;Chassis Analyzer;SSH;1
1.3.2.03.03.16.028;Chassis Dynamometer;SSH;1
1.3.2.03.03.16.029;Engine Analyzer;SSH;1
1.3.2.03.03.16.030;Engine Dynamometer;SSH;1
1.3.2.03.03.16.031;Brinell Hardness Tester;SSH;1
1.3.2.03.03.16.032;Specific Set Lainnya;SSH;1
1.3.2.03.03.17.001;Transmission Measuring Set Modulator;SSH;1
1.3.2.03.03.17.002;Dme Ground Station Test Set (Specific Set);SSH;1
1.3.2.03.03.17.003;Communication Receiver Set;SSH;1
1.3.2.03.03.17.004;Ils Calibration;SSH;1
1.3.2.03.03.17.005;Measuring Set;SSH;1
1.3.2.03.03.17.006;Sangkar Meteorologi;SSH;1
1.3.2.03.03.17.007;Thermometer Max;SSH;1
1.3.2.03.03.17.008;Thermometer Min;SSH;1
1.3.2.03.03.17.009;Thermometer Apung;SSH;1
1.3.2.03.03.17.010;Thermometer Tanah;SSH;1
1.3.2.03.03.17.011;Thermometer Suhu Air Laut;SSH;1
1.3.2.03.03.17.012;Flow Watch;SSH;1
1.3.2.03.03.17.013;Portable Weather Season;SSH;1
1.3.2.03.03.17.014;Psychrometer Assman;SSH;1
1.3.2.03.03.17.015;Automatic Weather Station (Aws);SSH;1
1.3.2.03.03.17.016;Ground Rason Receiver;SSH;1
1.3.2.03.03.17.017;Automatic Weather Observing Station (Awos);SSH;1
1.3.2.03.03.17.018;Intensity Meter;SSH;1
1.3.2.03.03.17.019;Sistem Informasi Meteorologi Otomatis (Simo);SSH;1
1.3.2.03.03.17.020;Seismic Borehole;SSH;1
1.3.2.03.03.17.021;Low Level Wind Shear Alert System;SSH;1
1.3.2.03.03.17.022;Tide Gauge Tsunami;SSH;1
1.3.2.03.03.17.023;Wind Profiler;SSH;1
1.3.2.03.03.17.024;Alat Monitoring Tsunami;SSH;1
1.3.2.03.03.17.025;Light Detecting And Ranging (Lidar);SSH;1
1.3.2.03.03.17.026;Alat Deteksi Getaran Tanah;SSH;1
1.3.2.03.03.17.027;Infrasound Meter;SSH;1
1.3.2.03.03.17.028;Radiosonde;SSH;1
1.3.2.03.03.17.029;Magnetograph;SSH;1
1.3.2.03.03.17.030;Lightning Detector;SSH;1
1.3.2.03.03.17.031;Refraksi Meter;SSH;1
1.3.2.03.03.17.032;Resistivity Meter;SSH;1
1.3.2.03.03.17.033;Handheld Teropong;SSH;1
1.3.2.03.03.17.034;Digital Soil Thermometer;SSH;1
1.3.2.03.03.17.035;Thermometer Minimum Rumput;SSH;1
1.3.2.03.03.17.036;Handheld Digital Soil Moisture;SSH;1
1.3.2.03.03.17.037;Wind Tunnel;SSH;1
1.3.2.03.03.17.038;Alat Penakar Hujan;SSH;1
1.3.2.03.03.17.039;Automatic Rain Gauge (Arg);SSH;1
1.3.2.03.03.17.040;Actinograph;SSH;1
1.3.2.03.03.17.041;Handheld Digital Pyranometer;SSH;1
1.3.2.03.03.17.042;Solar Monitoring Station;SSH;1
1.3.2.03.03.17.043;Digital Evaporimeter;SSH;1
1.3.2.03.03.17.044;Precursor Gempa Bumi;SSH;1
1.3.2.03.03.17.045;Digital Multi-Weather Sensors;SSH;1
1.3.2.03.03.17.046;Handheld Weather Station;SSH;1
1.3.2.03.03.17.047;Mobile Automatic Weather Station (Maws);SSH;1
1.3.2.03.03.17.048;Agroclimate Automatic Weather Station (Aaws);SSH;1
1.3.2.03.03.17.049;Automatic Rain Water Sampler (Arws);SSH;1
1.3.2.03.03.17.050;Betha-Rays Attenuation Monitoring (Bam);SSH;1
1.3.2.03.03.17.051;Air Kit Flask Sampling;SSH;1
1.3.2.03.03.17.052;Green House Gas (Ghg) Analyzer;SSH;1
1.3.2.03.03.17.053;Aerosol Sampler;SSH;1
1.3.2.03.03.17.054;Passive Air Sampler;SSH;1
1.3.2.03.03.17.055;Active Air Sampler;SSH;1
1.3.2.03.03.17.056;Portable Gas Sampling;SSH;1
1.3.2.03.03.17.057;Pagar Taman Alat;SSH;1
1.3.2.03.03.17.058;Hydrogen Generator;SSH;1
1.3.2.03.03.17.059;Humidity Meter;SSH;1
1.3.2.03.03.17.060;Alat Pengukur Keadaan Alam Lainnya;SSH;1
1.3.2.03.03.18.001;Sunshine Recorder;SSH;1
1.3.2.03.03.18.002;Solarimeter (Alat Pengukur Keadaan Alam);SSH;1
1.3.2.03.03.18.003;Pyranometer;SSH;1
1.3.2.03.03.18.004;Pyrheliometer;SSH;1
1.3.2.03.03.18.005;Net Radiometer;SSH;1
1.3.2.03.03.18.006;Digital Radiometer;SSH;1
1.3.2.03.03.18.007;Actinometer;SSH;1
1.3.2.03.03.18.008;Integrating Actino Meter;SSH;1
1.3.2.03.03.18.009;Albedometer;SSH;1
1.3.2.03.03.18.010;Gun Belani;SSH;1
1.3.2.03.03.18.011;Angstroom Pyrheliometer;SSH;1
1.3.2.03.03.18.012;Solarigraph;SSH;1
1.3.2.03.03.18.013;Pyrheliograph;SSH;1
1.3.2.03.03.18.014;Actiongraph;SSH;1
1.3.2.03.03.18.015;Pyranograph;SSH;1
1.3.2.03.03.18.016;X-Y Recorder (Alat Pengukur Keadaan Alam);SSH;1
1.3.2.03.03.18.017;Penakar Hujan;SSH;1
1.3.2.03.03.18.018;Reinfall Recorder Type Bucket;SSH;1
1.3.2.03.03.18.019;Leaf Area Meter;SSH;1
1.3.2.03.03.18.020;Planimeter (Alat Pengukur Keadaan Alam);SSH;1
1.3.2.03.03.18.021;Ceilometer;SSH;1
1.3.2.03.03.18.022;Ceilograph;SSH;1
1.3.2.03.03.18.023;Weather Radar;SSH;1
1.3.2.03.03.18.024;Open Pan Evaporimeter;SSH;1
1.3.2.03.03.18.025;Piche Evaporimeter;SSH;1
1.3.2.03.03.18.026;Lysimeter;SSH;1
1.3.2.03.03.18.027;Tubing Pump Drive;SSH;1
